,Unnamed: 0,title,rating,fat,Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Magnesium,Zinc,Selenium,Copper,Manganese,Molybdenum,Potassium,Choline
0,9086,Lemon Lemon Loaf,4.375,68.58974358974359,69.65,8.0,27.08,53.65217391304347,0.0,7.06,84.8,0.0,32.22222222222222,2.4615384615384617,5.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0851063829787233,0.0
1,6901,Poached Eggs with Tomato Cilantro Sauce,4.375,68.97435897435898,187.0,46.33333333333334,23.578181818181815,57.21739130434783,11.428571428571429,55.62,0.0,0.0,0.0,51.07692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,402,"Beet, Carrot, and Apple Juice with Ginger",4.375,1.2435897435897436,0.2049999999999999,0.0,14.64,9.73913043478261,24.642857142857142,3.34,0.0,84.8888888888889,10.666666666666668,3.615384615384616,4.222222222222222,0.0,4.800000000000001,0.0,5.333333333333333,11.846153846153843,8.28125,10.588235294117649,16.75,0.0,0.0,0.0,4.16,6.428571428571429,4.181818181818183,1.818181818181818,18.55555555555556,0.0,0.0,10.27659574468085,4.218181818181818
3,7857,Pear and Rosemary Butter,4.375,20.96153846153846,51.76500000000001,30.666666666666664,14.036363636363635,3.0434782608695654,11.071428571428571,7.740000000000001,0.0,20.444444444444443,4.777777777777778,10.384615384615383,4.444444444444445,1.5,4.2,0.0,5.25,15.153846153846157,1.525,4.294117647058824,4.25,16.25,0.0,0.2199999999999999,9.920000000000002,5.714285714285714,5.8181818181818175,6.727272727272727,12.0,1.9130434782608687,0.0,7.297872340425532,5.654545454545456
4,4582,Cinnamon Swirl Coffee Cake,4.375,115.64102564102564,193.5,24.333333333333336,55.309090909090905,28.34782608695652,36.07142857142857,40.48,84.8,0.0,0.0,27.61538461538462,26.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,6595,Spicy Bacon and Egg,4.375,69.10256410256412,168.335,28.333333333333336,22.749090909090903,55.34782608695652,17.142857142857142,57.220000000000006,0.0,0.5555555555555556,0.0,12.384615384615389,13.88888888888889,0.0,0.7333333333333333,0.0,0.8333333333333334,16.153846153846153,6.875000000000001,12.529411764705884,13.0,0.0,0.0,0.0,1.92,3.333333333333333,2.0,0.9090909090909092,2.6666666666666665,0.0,0.0,3.2127659574468086,2.8181818181818183
6,15305,Frittata with Fennel-Spiced Pork and Asparagus,5.0,41.02564102564103,88.815,54.0,12.687272727272727,93.95652173913044,11.428571428571429,105.5,0.0,29.33333333333333,2.555555555555556,68.3076923076923,25.111111111111107,2.5,3.9333333333333336,7.333333333333332,3.0000000000000004,31.230769230769223,2.06875,7.7058823529411775,8.25,58.333333333333336,0.0,9.0,51.52,11.666666666666666,40.54545454545456,64.36363636363636,17.333333333333336,3.0869565217391304,0.0,10.574468085106382,5.290909090909091
7,2894,Whole-Wheat Pancakes with Blackberry Syrup,4.375,40.42307692307693,80.0,10.666666666666668,82.67636363636363,7.739130434782608,43.57142857142858,28.62,0.0,0.0,8.88888888888889,17.692307692307693,246.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.872340425531917,0.0
8,1868,Buttermilk Waffles with Cherry-Almond Sauce,4.375,5.897435897435898,13.760000000000002,6.666666666666667,3.352727272727273,6.086956521739131,0.0,13.96,0.0,4.0,1.1111111111111112,19.384615384615383,0.0555555555555555,2.5,0.3333333333333333,0.0,4.0,26.615384615384613,0.8,2.294117647058824,1.25,24.583333333333336,0.0,0.0,7.359999999999999,5.714285714285715,9.545454545454549,3.636363636363636,0.1111111111111111,0.0,0.0,6.638297872340425,3.218181818181818
9,3936,"Pineapple, Arugula, Macadamia Nut",5.0,157.7051282051282,68.86,7.666666666666666,56.83272727272728,27.815652173913044,87.5,77.65999999999998,0.0,48.66666666666666,58.77777777777778,28.76923076923077,75.55555555555556,0.0,9.466666666666669,0.0,108.25,47.46153846153847,52.46875,40.23529411764706,19.5,16.666666666666668,0.0,21.62,65.84,100.0,75.72727272727272,61.27272727272727,365.6666666666667,287.78260869565213,0.0,35.82978723404255,8.709090909090909
