iter	MultiClass
0	1.089133236
1	1.079716542
2	1.070664638
3	1.061949743
4	1.053327839
5	1.044816426
6	1.036602146
7	1.028666383
8	1.021010195
9	1.01322316
10	1.005887687
11	0.9986567764
12	0.9916310961
13	0.9845869742
14	0.9778362134
15	0.9712741317
16	0.9647273682
17	0.9583418249
18	0.9522428089
19	0.9462700551
20	0.9404812948
21	0.934847189
22	0.9291092966
23	0.9234610266
24	0.9180140082
25	0.9125719988
26	0.9073190095
27	0.9023345725
28	0.8972963417
29	0.8923656042
30	0.8876445074
31	0.882838828
32	0.8782174038
33	0.8736744698
34	0.8691576577
35	0.8649034533
36	0.8606781895
37	0.8566219851
38	0.8524858629
39	0.8485321177
40	0.8446494739
41	0.840766473
42	0.8370152091
43	0.8332955043
44	0.8296343516
45	0.8260200912
46	0.8226591976
47	0.8191585197
48	0.8158725755
49	0.8125921869
50	0.8093511411
51	0.8061445407
52	0.8030015174
53	0.7999662918
54	0.7968685007
55	0.7940383309
56	0.7912588524
57	0.7885106838
58	0.7857785308
59	0.7830091953
60	0.7802700668
61	0.7776389976
62	0.7750587677
63	0.7724687135
64	0.7699668767
65	0.7675136113
66	0.7652023519
67	0.7628050698
68	0.7604100308
69	0.7580809008
70	0.7557912868
71	0.7535939864
72	0.7513556469
73	0.749183651
74	0.7470568729
75	0.7449298858
76	0.742945639
77	0.7409570922
78	0.7389860729
79	0.7371276888
80	0.7351592199
81	0.7333072275
82	0.7314476112
83	0.7296269491
84	0.7279824108
85	0.7262758344
86	0.7245745945
87	0.722888227
88	0.721277009
89	0.7196671917
90	0.7181008987
91	0.7165491123
92	0.7151014149
93	0.7135717897
94	0.7121182064
95	0.7106304316
96	0.7092180637
97	0.7078850342
98	0.7064709857
99	0.705125663
100	0.7038458648
101	0.7025681215
102	0.7013648495
103	0.7000545605
104	0.6989067075
105	0.6976548201
106	0.6963891176
107	0.6952130605
108	0.6939763562
109	0.6927628325
110	0.6916175971
111	0.690432914
112	0.689310123
113	0.6881762147
114	0.6871440214
115	0.6861472133
116	0.685192089
117	0.6841555725
118	0.6831766733
119	0.6822029559
120	0.6812613783
121	0.6802511282
122	0.6793001661
123	0.6784233246
124	0.6774816367
125	0.6766025379
126	0.6757587036
127	0.6748858514
128	0.673997469
129	0.673171473
130	0.6723312084
131	0.6714935024
132	0.6706750848
133	0.6698936891
134	0.6691204408
135	0.6684260556
136	0.667663064
137	0.6669379837
138	0.6662028239
139	0.6654105232
140	0.6646714119
141	0.663905486
142	0.6632244032
143	0.6624857427
144	0.6618037397
145	0.6611961626
146	0.6605294497
147	0.6598787122
148	0.6592236108
149	0.6586706058
150	0.6580612048
151	0.6574581507
152	0.6569160295
153	0.6563318773
154	0.6557982783
155	0.655288584
156	0.6547491676
157	0.6541817776
158	0.6536248733
159	0.6530694348
160	0.6525204659
161	0.6519791179
162	0.6514743048
163	0.6509775443
164	0.6504139544
165	0.6499305796
166	0.6494776647
167	0.6490276792
168	0.6484636516
169	0.6480169967
170	0.6475275392
171	0.6470687234
172	0.6466355578
173	0.6462100424
174	0.6457565024
175	0.6453372265
176	0.644895016
177	0.6444744924
178	0.644087881
179	0.6436506486
180	0.6432855274
181	0.6429500638
182	0.6425742821
183	0.642155676
184	0.6417456558
185	0.6413206628
186	0.6409742932
187	0.6405918275
188	0.6402659474
189	0.6399085019
190	0.6395979625
191	0.6392391562
192	0.6389859146
193	0.6386548894
194	0.6383788967
195	0.6379977441
196	0.6376961446
197	0.6373430473
198	0.6370573277
199	0.6367231671
200	0.6364255801
201	0.6361159542
202	0.6358187316
203	0.6354962305
204	0.6352048499
205	0.6349149197
206	0.6346006729
207	0.6343020445
208	0.634001164
209	0.633689104
210	0.6334637252
211	0.6332348872
212	0.632984276
213	0.6327274949
214	0.6324410223
215	0.6321897954
216	0.6319542319
217	0.6317188214
218	0.6314861269
219	0.631264583
220	0.6310293952
221	0.6307850444
222	0.63053897
223	0.6303530781
224	0.6301055166
225	0.6298962928
226	0.6297158485
227	0.6295088714
228	0.6292935634
229	0.6290676663
230	0.628814697
231	0.6285886722
232	0.6283527284
233	0.6281486352
234	0.627921602
235	0.6277266651
236	0.6274633957
237	0.6272564895
238	0.6270376986
239	0.6267955188
240	0.6265825897
241	0.626385702
242	0.6262136368
243	0.625988346
244	0.6257635018
245	0.6255931379
246	0.625404382
247	0.6252412747
248	0.6250672178
249	0.6248983762
250	0.624743663
251	0.6246061853
252	0.6244608455
253	0.6242765889
254	0.6241460733
255	0.6239729785
256	0.6238086301
257	0.6236182601
258	0.6234657296
259	0.6233005491
260	0.6231620422
261	0.6230135845
262	0.6228533846
263	0.6227301707
264	0.6225821805
265	0.6224348922
266	0.6222888915
267	0.6221250629
268	0.6219531624
269	0.6218067596
270	0.6216234151
271	0.6214684501
272	0.6213426067
273	0.6212372467
274	0.6210716046
275	0.6209313878
276	0.6208091531
277	0.6206625846
278	0.6205272776
279	0.6203935722
280	0.6202682851
281	0.6201047639
282	0.6200000365
283	0.6198494175
284	0.6197030829
285	0.619570953
286	0.6194271006
287	0.6193398711
288	0.6191780189
289	0.6190584459
290	0.6189209237
291	0.6187994555
292	0.6186815097
293	0.6185703936
294	0.6184545721
295	0.6183219181
296	0.6182041501
297	0.6180342698
298	0.6179232867
299	0.6177838808
